ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1	1	4	4	0.000000	9124.000000	9124.000000	0.000000	0.000000	0	1971	0
2	1	4	4	0.000000	12125.000000	12125.000000	0.000000	0.000000	0	2108	0
3	1	4	4	0.000000	9720.000000	9720.000000	0.000000	0.000000	0	1846	0
4	1	4	4	0.000000	11278.000000	11278.000000	0.000000	0.000000	0	2157	0
5	1	4	4	0.000000	15750.000000	15750.000000	0.000000	0.000000	0	2372	0
6	1	5	3	0.000000	12526.000000	12526.000000	0.000000	0.000000	0	2216	0
7	1	5	4	0.000000	12244.000000	12244.000000	0.000000	0.000000	0	2152	0
8	1	4	5	0.000000	12703.000000	12703.000000	0.000000	0.000000	0	2259	0
9	1	4	4	0.000000	9722.000000	9722.000000	0.000000	0.000000	0	2093	0
10	1	4	4	0.000000	10660.000000	10660.000000	0.000000	0.000000	0	2049	0
11	1	4	3	0.000000	9916.000000	9916.000000	0.000000	0.000000	0	2111	0
12	1	4	3	0.000000	9506.000000	9506.000000	0.000000	0.000000	0	1975	0
13	1	4	4	0.000000	16626.000000	16626.000000	0.000000	0.000000	0	2372	0
14	1	5	4	0.000000	14584.000000	14584.000000	0.000000	0.000000	0	2304	0
15	1	4	5	0.000000	13779.000000	13779.000000	0.000000	0.000000	0	2332	0
16	1	4	4	0.000000	14903.000000	14903.000000	0.000000	0.000000	0	2391	0
17	1	4	4	0.000000	12536.000000	12536.000000	0.000000	0.000000	0	2273	0
18	1	3	4	0.000000	7710.000000	7710.000000	0.000000	0.000000	0	2006	0
19	1	5	4	0.000000	9547.000000	9547.000000	0.000000	0.000000	0	2051	0
20	1	5	5	0.000000	15010.000000	15010.000000	0.000000	0.000000	0	2105	0
21	1	5	4	0.000000	14234.000000	14234.000000	0.000000	0.000000	0	2267	0
22	1	4	5	0.000000	9784.000000	9784.000000	0.000000	0.000000	0	2094	0
23	1	4	4	0.000000	10867.000000	10867.000000	0.000000	0.000000	0	2116	0
24	1	5	4	0.000000	11764.000000	11764.000000	0.000000	0.000000	0	2166	0
25	1	4	4	0.000000	19694.000000	19694.000000	0.000000	0.000000	0	2194	0
26	1	4	4	0.000000	11263.000000	11263.000000	0.000000	0.000000	0	2209	0
27	1	4	4	0.000000	8609.000000	8609.000000	0.000000	0.000000	0	2047	0
28	1	4	5	0.000000	9393.000000	9393.000000	0.000000	0.000000	0	1933	0
29	1	4	4	0.000000	11083.000000	11083.000000	0.000000	0.000000	0	2061	0
30	1	4	4	0.000000	7808.000000	7808.000000	0.000000	0.000000	0	1846	0
31	1	4	4	0.000000	11419.000000	11419.000000	0.000000	0.000000	0	2047	0
